d_max(um);d_min(um);d_avg(um);delta d
14.977;14.114;14.546;0.864
14.595;13.898;14.247;0.698
14.226;14.086;14.156;0.14
14.826;13.984;14.405;0.842
14.481;13.621;14.051;0.86
14.136;13.856;13.996;0.28
14.567;14.174;14.37;0.393
14.318;13.723;14.02;0.596
14.41;13.716;14.063;0.694
14.488;13.892;14.19;0.595
14.201;14.07;14.135;0.132
14.298;13.984;14.141;0.314
14.399;13.995;14.197;0.404
14.241;13.806;14.023;0.434
14.247;14.05;14.148;0.197
14.361;13.994;14.177;0.367
14.576;13.751;14.164;0.825
14.304;13.833;14.068;0.471
14.258;13.92;14.089;0.338
14.087;14.018;14.053;0.069
13.993;13.836;13.915;0.156
14.169;13.816;13.993;0.353
14.084;13.817;13.951;0.267
14.313;13.945;14.129;0.368
14.271;13.991;14.131;0.28
14.605;14.122;14.363;0.483
14.515;13.784;14.149;0.731
13.975;13.437;13.706;0.538
14.203;13.735;13.969;0.468
14.139;13.489;13.814;0.65
14.136;13.558;13.847;0.578
13.896;13.619;13.757;0.277
14.041;13.601;13.821;0.44
14.064;13.54;13.802;0.524
14.148;13.62;13.884;0.528
13.948;13.59;13.769;0.358
14.255;13.383;13.819;0.872
14.104;13.665;13.885;0.439
14.237;13.442;13.84;0.795
14.106;13.439;13.772;0.667
14.131;13.473;13.802;0.658
13.853;13.698;13.776;0.154
14.049;13.507;13.778;0.542
14.049;13.651;13.85;0.397
13.92;13.676;13.798;0.244
14.16;13.508;13.834;0.653
13.851;13.577;13.714;0.274
14.077;13.445;13.761;0.631
13.915;13.586;13.75;0.329
13.924;13.57;13.747;0.354
14.049;13.522;13.786;0.527
14.21;13.445;13.828;0.765
13.893;13.353;13.623;0.539
14.131;13.664;13.898;0.467
14.058;13.427;13.742;0.631
14.056;13.502;13.779;0.553
13.833;13.557;13.695;0.276
13.969;13.535;13.752;0.433
13.976;13.475;13.725;0.501
14.076;13.551;13.813;0.525
13.874;13.532;13.703;0.342
14.169;13.341;13.755;0.828
14.045;13.598;13.822;0.446
14.177;13.372;13.775;0.805
14.02;13.382;13.701;0.638
14.055;13.428;13.741;0.626
13.785;13.607;13.696;0.178
13.981;13.444;13.713;0.538
13.986;13.426;13.706;0.56
13.842;13.623;13.732;0.219
14.094;13.422;13.758;0.673
13.772;13.491;13.632;0.282
13.988;13.386;13.687;0.602
13.846;13.505;13.676;0.342
13.86;13.509;13.684;0.351
13.967;13.447;13.707;0.52
14.117;13.372;13.744;0.745
