d_max(um);d_min(um);d_avg(um);delta d 
101.718 ; 101.557 ; 101.638 ; 0.16
101.873 ; 101.607 ; 101.74 ; 0.266
101.858 ; 101.746 ; 101.802 ; 0.112
102.186 ; 101.838 ; 102.012 ; 0.348
101.724 ; 101.183 ; 101.453 ; 0.541
101.523 ; 101.37 ; 101.446 ; 0.153
101.722 ; 101.566 ; 101.644 ; 0.155
101.895 ; 101.741 ; 101.818 ; 0.154
101.648 ; 101.299 ; 101.473 ; 0.348
101.842 ; 101.481 ; 101.661 ; 0.361
101.841 ; 101.581 ; 101.711 ; 0.261
101.871 ; 101.752 ; 101.811 ; 0.119
102.079 ; 101.782 ; 101.931 ; 0.297
102.22 ; 101.945 ; 102.083 ; 0.275
102.521 ; 102.124 ; 102.322 ; 0.398
102.897 ; 102.109 ; 102.503 ; 0.788
101.986 ; 101.555 ; 101.771 ; 0.43
101.858 ; 101.647 ; 101.753 ; 0.21
102.163 ; 101.887 ; 102.025 ; 0.276
102.547 ; 102.088 ; 102.317 ; 0.459
101.95 ; 101.652 ; 101.801 ; 0.298
102.162 ; 101.974 ; 102.068 ; 0.188
102.261 ; 102.085 ; 102.173 ; 0.176
102.191 ; 101.903 ; 102.047 ; 0.288
102.33 ; 101.916 ; 102.123 ; 0.414
102.36 ; 102.125 ; 102.242 ; 0.234
102.452 ; 102.084 ; 102.268 ; 0.368
102.592 ; 102.071 ; 102.332 ; 0.521
101.922 ; 101.717 ; 101.82 ; 0.205
102.086 ; 101.826 ; 101.956 ; 0.26
102.179 ; 101.905 ; 102.042 ; 0.274
102.383 ; 102.089 ; 102.236 ; 0.294
102.076 ; 101.398 ; 101.737 ; 0.677
102.211 ; 101.802 ; 102.007 ; 0.408
102.314 ; 101.958 ; 102.136 ; 0.356
102.416 ; 102.285 ; 102.35 ; 0.131
102.98 ; 102.448 ; 102.714 ; 0.532
103.547 ; 103.044 ; 103.296 ; 0.503
103.785 ; 103.364 ; 103.574 ; 0.421
104.017 ; 103.201 ; 103.609 ; 0.815
102.801 ; 102.334 ; 102.567 ; 0.467
102.864 ; 102.496 ; 102.68 ; 0.368
103.117 ; 102.574 ; 102.846 ; 0.543
103.329 ; 103.064 ; 103.197 ; 0.265
102.96 ; 102.056 ; 102.508 ; 0.903
103.08 ; 102.412 ; 102.746 ; 0.668
103.116 ; 102.816 ; 102.966 ; 0.3
102.897 ; 102.706 ; 102.802 ; 0.192
103.586 ; 102.962 ; 103.274 ; 0.624
